session,group,date,expName,psychopyVersion,OS,frameRate,participant,expt,status,key_resp_2.keys,key_resp_2.rt,key_resp_6.keys,key_resp_6.rt,key_resp_3.keys,key_resp_3.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Word,WordClass,Definition,Target,Foil,TargetPositionX,TargetPositionY,FoilPositionX,FoilPositionY,TargetTime,FoilTime,CorrectKey,textbox.text,enter.keys,enter.rt,textbox_2.text,enter_2.keys,enter_2.rt,textbox_3.text,enter_3.keys,enter_3.rt,textbox_4.text,enter_4.keys,enter_4.rt,slider.response,slider.rt,key_resp_4.keys,key_resp_4.rt,slider_2.response,slider_2.rt,key_resp_5.keys,key_resp_5.rt
69300,54,2023-10-27_11h57.17.496,V2_E2,2022.2.5,MacIntel,59.99160118,101,283,pilot,,,,,s,1.5684,0,16,16,16,1,tsuyoi,Adj,strong,018-tsuyoi.mp3,017-kimazui.mp3,-0.3,0,0.3,0,0.5,2.1,s,,,,,,,,,,,,,,,,,,,,
69300,54,2023-10-27_11h57.17.496,V2_E2,2022.2.5,MacIntel,59.99160118,101,283,pilot,,,,,s,0.9488,0,17,17,17,1,yuku,Verb,to go,077-yuku.mp3,090-tsubuyaku.mp3,0.3,0,-0.3,0,2.1,0.5,k,,,,,,,,,,,,,,,,,,,,
69300,54,2023-10-27_11h57.17.496,V2_E2,2022.2.5,MacIntel,59.99160118,101,283,pilot,,,,,k,1.5347,0,18,18,18,1,hana,Noun,flower,074-hana.mp3,063-namida.mp3,0.3,0,-0.3,0,2.1,0.5,k,,,,,,,,,,,,,,,,,,,,
69300,54,2023-10-27_11h57.17.496,V2_E2,2022.2.5,MacIntel,59.99160118,101,283,pilot,,,,,s,1.7506,0,19,19,19,1,gatan,Mim,with a bang,049-gatan.mp3,043-petan.mp3,0.3,0,-0.3,0,2.1,0.5,k,,,,,,,,,,,,,,,,,,,,
69300,54,2023-10-27_11h57.17.496,V2_E2,2022.2.5,MacIntel,59.99160118,101,283,pilot,,,,,k,0.3147,0,20,20,20,1,betsuna,Adj,another,006-betsuna.mp3,004-takumina.mp3,0.3,0,-0.3,0,2.1,0.5,k,,,,,,,,,,,,,,,,,,,,
69300,54,2023-10-27_11h57.17.496,V2_E2,2022.2.5,MacIntel,59.99160118,101,283,pilot,,,,,s,1.5518,0,21,21,21,1,hirogeru,Verb,to spread,097-hirogeru.mp3,093-noru.mp3,-0.3,0,0.3,0,0.5,2.1,s,,,,,,,,,,,,,,,,,,,,
69300,54,2023-10-27_11h57.17.496,V2_E2,2022.2.5,MacIntel,59.99160118,101,283,pilot,,,,,s,0.5011,0,22,22,22,1,tobu,Verb,to jump,099-tobu.mp3,096-sadameru.mp3,-0.3,0,0.3,0,0.5,2.1,s,,,,,,,,,,,,,,,,,,,,
69300,54,2023-10-27_11h57.17.496,V2_E2,2022.2.5,MacIntel,59.99160118,101,283,pilot,,,,,k,0.6658,0,23,23,23,1,kitanai,Adj,dirty,012-kitanai.mp3,015-kusai.mp3,0.3,0,-0.3,0,2.1,0.5,k,,,,,,,,,,,,,,,,,,,,
69300,54,2023-10-27_11h57.17.496,V2_E2,2022.2.5,MacIntel,59.99160118,101,283,pilot,,,,,s,1.3837,0,24,24,24,1,garan,Mim,empty,038-garan.mp3,027-nosori.mp3,-0.3,0,0.3,0,0.5,2.1,s,,,,,,,,,,,,,,,,,,,,
69300,54,2023-10-27_11h57.17.496,V2_E2,2022.2.5,MacIntel,59.99160118,101,283,pilot,,,,,s,1.4482,0,25,25,25,1,naritatsu,Verb,to consist,081-naritatsu.mp3,092-shinu.mp3,-0.3,0,0.3,0,0.5,2.1,s,,,,,,,,,,,,,,,,,,,,
