participant,word,word_class,icon,rt_z,icon_z,quantile,rt,acc
101,tsuma,Noun,0.65,0.4539985492552318,-1.4965690310882078,1,3.1011,1
101,hiratai,Adj,2.909090909,0.05068230087025071,1.2790175399479353,5,2.1197,1
101,kasanaru,Verb,1.857142857,-0.32103111533538947,-0.013437258983235436,3,1.2152,1
101,kotoba,Noun,2.727272727,-0.5288947371339664,1.0556302905375994,5,0.7094,0
101,hoka,Noun,3,-0.2309897560311819,1.3907111646531032,5,1.4343,1
101,yomu,Verb,2.125,0.1741758128324341,0.3156600279409129,4,2.4202,0
101,tochi,Noun,1.2,-0.2590994273064343,-0.8208226022976883,2,1.3659,1
101,nemui,Adj,3.583333333,-0.6243196738315338,2.107411922051687,5,0.4772,0
101,yobu,Verb,0.416666667,-0.16137311401323226,-1.7832493338019153,1,1.6037,0
101,majimena,Adj,1.260869565,0.014928771616640312,-0.7460364365326295,2,2.0327,1
101,yutakana,Adj,2.076923077,-0.20345542890483811,0.2565912842600278,3,1.5013,0
101,kagiri,Noun,1.642857143,-0.30697627969776325,-0.2767150880311019,3,1.2494,0
101,hiyohiyo,Mim,1,0.5769167170685064,-1.0665485764033318,1,3.4002,1
101,gakun,Mim,1.928571429,0.20080602772477846,0.07432201818514013,3,2.485,1
101,tsuyoi,Adj,2.3125,-0.1758800057678581,0.5460281286649536,4,1.5684,1
101,yuku,Verb,0.818181818,-0.43051088767058304,-1.2899358258136677,1,0.9488,0
101,hana,Noun,2.857142857,-0.18972936135230264,1.215192611544982,5,1.5347,1
101,gatan,Mim,3.411764706,-0.10100307438845775,1.8966175820739728,5,1.7506,0
101,betsuna,Adj,1.142857143,-0.6911006911155764,-0.8910300232952106,2,0.3147,1
101,hirogeru,Verb,2.692307692,-0.1827019435334895,1.0126712041125348,5,1.5518,1
101,tobu,Verb,3.2,-0.6144977272894498,1.6364371387587469,5,0.5011,1
101,kitanai,Adj,1.909090909,-0.546812597771408,0.05038766941971763,3,0.6658,1
101,garan,Mim,1.75,-0.25178433741316686,-0.14507617350716867,3,1.3837,1
101,naritatsu,Verb,1.181818182,-0.22527741055273148,-0.843161326992996,2,1.4482,1
101,shiroi,Adj,3.083333333,-0.12833192146161979,1.4930969867875783,5,1.6841,1
101,mamoru,Verb,2.714285714,-0.2428665031050824,1.039674058436861,5,1.4054,0
101,kuchi,Noun,2.2,-0.2366610054989959,0.40780726823052943,4,1.4205,1
101,nakama,Noun,2.142857143,-0.08850988715501225,0.33759984723300684,4,1.781,0
101,kebakeba,Mim,2,-0.03611247359368644,0.1620812941248857,3,1.9085,1
101,hiku,Verb,2.352941176,-0.25860627517879825,0.5957153654978423,4,1.3671,1
101,katachi,Noun,1.375,-0.3191406988461181,-0.6058123749552502,2,1.2198,0
101,nigatena,Adj,1.235294118,-0.40240121639533055,-0.7774591946689405,2,1.0172,1
101,wasawasa,Mim,3.3,0.04192885060471155,1.7593001258115684,5,2.0984,0
101,kotori,Mim,1.7,-0.10227705071818405,-0.2065076670335796,3,1.7475,0
101,shobon,Mim,2.5,-0.4434972270316645,0.7763962293889944,4,0.9172,0
101,samui,Adj,2.769230769,-0.1968800672030247,1.1071811942476768,5,1.5173,1
101,tomonau,Verb,1.090909091,-0.5189905985706099,-0.9548549516981637,1,0.7335,1
101,jimoto,Noun,1.285714286,-0.7271007964330048,-0.7155114701870898,2,0.2271,1
101,kotoshi,Noun,1.944444444,-0.6330731240970728,0.09382407854948249,3,0.4559,0
101,shiraberu,Verb,2,-0.37396277703498754,0.1620812941248857,3,1.0864,0
101,matomeru,Verb,2.363636364,-0.3408804884727387,0.6088557929455575,4,1.1669,0
101,furina,Adj,1.222222222,-0.4096341142673254,-0.7935197165589789,2,0.9996,0
101,furui,Adj,1.909090909,-0.5547030318135842,0.05038766941971763,3,0.6466,0
101,harari,Mim,2.571428571,-0.4999631456459873,0.8641555053287403,4,0.7798,1
101,funyafunya,Mim,3.833333333,-0.05242758981631103,2.4145693896837415,5,1.8688,1
101,haha,Noun,2.357142857,-0.26481177278488466,0.6008776762808733,4,1.352,0
101,pekon,Mim,1,-0.428661567191948,-1.0665485764033318,1,0.9533,0
101,pikari,Mim,1.2,-0.41711358820313815,-0.8208226022976883,2,0.9814,0
102,hikari,Noun,2.25,0.862492894980391,0.46923876175694007,4,4.0951,0
102,takumina,Adj,0.944444444,0.019038372680273617,-1.1348057919787349,1,2.0427,0
102,mitsumeru,Verb,1.923076923,0.22566911415976057,0.06757130398974359,3,2.5455,0
102,tsuyoi,Adj,2.3125,0.08964131895349535,0.5460281286649536,4,2.2145,0
102,kotoba,Noun,2.727272727,-0.12274286401507836,1.0556302905375994,5,1.6977,0
102,garan,Mim,1.75,-0.12159217571726105,-0.14507617350716867,3,1.7005,1
102,nukeru,Verb,1.6875,-0.34104487251528404,-0.22186554041518225,3,1.1665,0
102,tochi,Noun,1.2,-0.37014084804580855,-0.8208226022976883,2,1.0957,1
102,kuchi,Noun,2.2,-0.011331579179977083,0.40780726823052943,4,1.9688,0
102,gusha,Mim,2.75,-0.3541544999082746,1.0835536970210489,5,1.1346,1
102,furui,Adj,1.909090909,-0.5062508352733465,0.05038766941971763,3,0.7645,1
102,kiyoi,Adj,2.583333333,-0.3227982437927518,0.8787820515234694,4,1.2109,0
102,mamoru,Verb,2.714285714,0.04349049900889224,1.039674058436861,5,2.1022,0
102,marena,Adj,1.083333333,-0.1773183661401298,-0.9641627542688571,1,1.5649,0
102,katsukatsu,Mim,1.333333333,-0.021030237690151915,-0.6570052866368027,2,1.9452,0
102,noru,Verb,2.3,0.034038416562535576,0.5306702552833508,4,2.0792,1
102,haha,Noun,2.357142857,-0.2254417945952768,0.6008776762808733,4,1.4478,0
102,kurai,Adj,2.166666667,-0.32657907677129455,0.3668529396224651,4,1.2017,1
102,chirochiro,Mim,2.133333333,-0.1573046089602352,0.32589860978577134,4,1.6136,1
102,hayamena,Adj,0.083333333,-0.15767447305596216,-2.192792624797075,1,1.6127,0
102,moji,Noun,2.642857143,-0.13914017225897563,0.9519147824971156,5,1.6578,1
102,pekon,Mim,1,-0.11078392491990524,-1.0665485764033318,1,1.7268,1
102,fukameru,Verb,1,-0.43186705602158204,-1.0665485764033318,1,0.9455,1
102,shinu,Verb,2.25,-0.47941514032782034,0.46923876175694007,4,0.8298,0
102,kusai,Adj,2.083333333,-0.26904466188042714,0.2644671162593607,3,1.3417,0
102,kasanaru,Verb,1.857142857,-0.1599758496515969,-0.013437258983235436,3,1.6071,0
102,matsuri,Noun,2,-0.36245589405681405,0.1620812941248857,3,1.1144,0
102,yuku,Verb,0.818181818,-0.34355172916410043,-1.2899358258136677,1,1.1604,0
102,tsubuyaku,Verb,2,-0.261893956029705,0.1620812941248857,3,1.3591,1
102,namida,Noun,1.8,-0.4534424616056573,-0.08364467998075774,3,0.893,0
102,kako,Noun,0.384615385,-0.4526205413929307,-1.8226284962558388,1,0.895,1
102,pikari,Mim,1.2,-0.4447301073507545,-0.8208226022976883,2,0.9142,0
102,gakun,Mim,1.928571429,-0.2948118605494085,0.07432201818514013,3,1.279,1
102,yutakana,Adj,2.076923077,-0.23756511773299535,0.2565912842600278,3,1.4183,1
102,karari,Mim,0.428571429,-0.5216207432513352,-1.768622787607186,1,0.7271,1
102,furina,Adj,1.222222222,-0.4465794278293896,-0.7935197165589789,2,0.9097,0
102,kitanai,Adj,1.909090909,-0.5586071528240358,0.05038766941971763,3,0.6371,0
102,katachi,Noun,1.375,-0.49889464936944267,-0.6058123749552502,2,0.7824,1
102,hoka,Noun,3,-0.5155796296877942,1.3907111646531032,5,0.7418,0
102,harari,Mim,2.571428571,-0.3916340616086111,0.8641555053287403,4,1.0434,1
102,mijikana,Adj,0.833333333,-0.27779811214596617,-1.2713202219009114,1,1.3204,0
102,kebakeba,Mim,2,-0.2035787169367472,0.1620812941248857,3,1.501,1
102,naritatsu,Verb,1.181818182,-0.3097297124103977,-0.843161326992996,2,1.2427,1
102,petan,Mim,2.307692308,-0.1804416629484912,0.5401212546654541,4,1.5573,0
102,hirogeru,Verb,2.692307692,-0.37946964246025633,1.0126712041125348,5,1.073,0
102,kotoshi,Noun,1.944444444,-0.4610863195840154,0.09382407854948249,3,0.8744,0
102,machigau,Verb,1.2,-0.4038395767676023,-0.8208226022976883,2,1.0137,1
102,futsufutsu,Mim,3.2,0.03510691283908014,1.6364371387587469,5,2.0818,1
103,chikaku,Noun,2.769230769,1.485508416227213,1.1071811942476768,5,5.6111,0
103,kotoshi,Noun,1.944444444,1.2316994545372146,0.09382407854948249,3,4.9935,0
103,hiku,Verb,2.352941176,0.5790126136109595,0.5957153654978423,4,3.4053,1
103,majimena,Adj,1.260869565,1.0544112646520702,-0.7460364365326295,2,4.5621,1
103,tobu,Verb,3.2,-0.11197570922835888,1.6364371387587469,5,1.7239,1
